Card#,Title,Artist,Year,URL,Youtube-Title,Hashed Info
31,No One,Alicia Keys,2007,https://youtube.com/watch?v=rywUS-ohqeE,Alicia Keys - No One (Official Music Video),9bf34f95419ac6f733d3f2ffda9d0773f7e78c63b179ad776f11bfef931e40f4
32,I Got You (I Feel Good),James Brown,1965,https://youtube.com/watch?v=pTdihu-mp90,James Brown - I Got You (I Feel Good) (Visualizer),af2e267a8f2475fb0278196a159630d2ab4f4b49f7f4144cf3612a2bc05351e7
33,Barracuda,Heart,1977,https://youtube.com/watch?v=VdOkQ6THDVw,Heart - Barracuda (Audio),1e3124eab4cad25522e92c3e46d64c3ce71fa9f6cd7300d2b7153433ed0493bb
34,School's Out,Alice Cooper,1972,https://youtube.com/watch?v=RWgTD_0jxeE,School's Out (2002 Remaster),bf38a3d3c7f99626889813e53129396efee3132b3982dbc80a5620564a414a6c
35,"Sugar, Sugar",The Archies,1969,https://youtube.com/watch?v=5rmwDnOozWU,"Sugar, Sugar",6dba9295aa041fcbe181690fd86aab85c090f13da8c1435f930406a2541e5398
36,Le Freak,Chic,1978,https://youtube.com/watch?v=7KP7bdFv_qg,Le Freak (Edit),b00dc35d890fc132bf52a7b6e301533e8f1cc690cbd9d8b1d936b6666dec0961
37,The Time Of My Life,Bill Medley & Jennifer Warnes,1987,https://youtube.com/watch?v=4BQLE_RrTSU,"Bill Medley, Jennifer Warnes - (I've Had) The Time Of My Life (Official HD Video)",e64a7fa9c67ae33d4af3e5dd729884adb406a0d38fa58c84228edcf437ee2cd4
38,Born To Be Alive,Patrick Hernandez,1978,https://youtube.com/watch?v=9UaJAnnipkY,Patrick Hernandez - Born to Be Alive - Official Video (Clip Officiel),4a7126a0e1032e034f45a0ce3291fc3d1aa964425d73a44f6b940f2bbccc70de
39,Heaven,Bryan Adams,1984,https://youtube.com/watch?v=vf3zFvcKQkw,Bryan Adams - Heaven (Classic Version),56449b2bbcaed2fe4393da7f300fd87afae5d325c74ae2b8361a7a5ecd26d2d6
40,Dynamite,BTS,2020,https://youtube.com/watch?v=Mzk6KkyxXC8,BTS - Dynamite (Lyrics),bae7592edcbf1a02fa8c1e647881adfe581dff2a944973f01b8bde2ac264ef19
