Card#,Title,Artist,Year,URL,Youtube-Title,Hashed Info
128,Born To Be Wild,Steppenwolf,1968,https://youtube.com/watch?v=igvP806798U,Born To Be Wild,1eacb6a1259de601de99851ad0e9e1881c499f00dba9a122943f2df049fcd6d7
129,Belive,Cher,1998,https://youtube.com/watch?v=nZXRV4MezEw,Cher - Believe (Official Music Video) [4K Remaster],edfccfef7fd8319c6b775b34baf108c16b4733f66b8f8753a46d76b233858b31
130,Master Of Puppets,Metallica,1986,https://youtube.com/watch?v=E0ozmU9cJDg,Master of Puppets (Remastered),a2891b957f20d3065ae47bfc94c8f34dc3cb410fd28f82aaa11e83480accebc3
131,Tom Sawyer,Rush,1981,https://youtube.com/watch?v=6QsXhH93QAs,Rush - Tom Sawyer (Official Music Video),d10896eab5b0976467119802b12c563ff9cdd87e5c74c289338290ddd453889a
132,Mr. Brightside,The Killers,2003,https://youtube.com/watch?v=pvIJyRkS9y0,Mr. Brightside HQ (The Killers),069ef95f9fe487394ad0251658102cf33ce1300d06a0430240c49d3e9024b9b1
133,The Ketchup Song (Aserejé),Las Ketchup,2002,https://youtube.com/watch?v=AMT698ArSfQ,Las Ketchup - The Ketchup Song (Asereje) (Spanglish Version) (Official Video),22b4a31d2342495dd3e3d101cbc76310a95d81f945e6e4f596a6541ee210c982
134,Fast Car,Tracy Chapman,1988,https://youtube.com/watch?v=AIOAlaACuv4,Tracy Chapman - Fast Car (Official Music Video),f725ae6d64a1b8d739ff2495663ed9af00babc422df55f993f4f5e71b80c965e
135,No Son Of Mine,Genesis,1991,https://youtube.com/watch?v=KZbHcAPsllE,Genesis - No son of mine (1991),d7b0cfb42f7d599ddac2d60ee059fc91eb6bd189ce60aa82eefe3b3448a50a5b
136,Crazy,Aerosmith,1994,https://youtube.com/watch?v=DU5fiwedSCk,Crazy,6881e182644c8861e8706fd1a2412afcf0416732a596db56256fbdca8d6d506e
137,Don't Stop Belivin',Journey,1981,https://youtube.com/watch?v=1k8craCGpgs,Journey - Don't Stop Believin' (Official Audio),0a9c04e9c7edf4a902299ea8dab66b1800009b0f68bf6c82e1390ab60c8dd802
138,Ghost,Justin Bieber,2022,https://youtube.com/watch?v=Fp8msa5uYsc,Justin Bieber - Ghost,39f19251575df2b5f614a972e708ffe929f61dae5c34aa9f7118d67092850601
139,Domino Dancing,Pet Shop Boys,1988,https://youtube.com/watch?v=ik2YF05iX2w,Pet Shop Boys - Domino Dancing (Official Video) [HD REMASTERED],b2033959a0a556015a6d6965271e7ef6361af9baf018050bdf764ca15c04869b
140,Sweet Dreams,Eurytmics,1983,https://youtube.com/watch?v=eRhg7qPLeN8,Sweet Dreams (Are Made of This) (2005 Remaster),9632d17980e82844dbd423b864015739bbf563749f438dd62a1783fc0b726fd9
141,Bitter Sweet Symphony,The Verve,1997,https://youtube.com/watch?v=1lyu1KKwC74,The Verve - Bitter Sweet Symphony,bc487057389be8a9756812a9fe0f147f9477c47bf1a9f651963558bb49356f33
